,0,1,2,3,4,5,6,7,8,9,10
0,S0088651,치킨,4723010200,경상북도,영천시,망정동,\N,4723051000,동부동,472304730196,망정3길
1,S0088652,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343200,시민로143번길
2,S0088653,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343200,시민로143번길
3,S0088657,치킨,4127110200,경기도,안산시 상록구,이동,\N,4127151500,이동,412713190087,매화로
4,S0088660,찜탕,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411504343164,부용로95번길
6,S0088676,돈까스/일식,1153010700,서울특별시,구로구,개봉동,\N,1153075000,개봉2동,115304148301,남부순환로97길
7,S0088677,배달전문업체,4617025021,전라남도,나주시,남평읍,남평리,4617025000,남평읍,461703284015,남평1로
8,S0088681,중식,4143010300,경기도,의왕시,삼동,\N,4143052000,부곡동,414304403096,부곡초등길
10,S0088694,한식,4139010100,경기도,시흥시,대야동,\N,4139051000,대야동,413904397267,복지로43번길
11,S0088695,한식,4513011900,전라북도,군산시,영화동,\N,4513053000,월명동,451304604090,구영6길
12,S0088703,한식,4127110300,경기도,안산시 상록구,사동,\N,4127153200,사이동,412714370236,선진4길
13,S0088704,한식,4127110300,경기도,안산시 상록구,사동,\N,4127153200,사이동,412714370236,선진4길
14,S0088712,도시락,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411504343169,비우로92번길
15,S0088715,피자,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343377,태평로24번길
16,S0088716,한식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181046,천보로
17,S0088717,한식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181046,천보로
18,S0088718,족발/보쌈,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190036,샘골로
19,S0088719,족발/보쌈,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190036,샘골로
20,S0088720,찜탕,2823710100,인천광역시,부평구,부평동,\N,2823754000,부평4동,282374262536,신트리로8번길
21,S0088722,패스트푸드,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
22,S0088723,패스트푸드,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181046,천보로
23,S0088724,패스트푸드,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
24,S0088725,패스트푸드,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503215066,평화로
25,S0088736,중식,4122025321,경기도,평택시,안중읍,안중리,4122025300,안중읍,412203188011,덕우로
26,S0088744,중식,4139010600,경기도,시흥시,은행동,\N,4139054000,은행동,413904397398,시흥대로1074번길
28,S0088759,피자,4139010100,경기도,시흥시,대야동,\N,4139051000,대야동,413904397296,비둘기공원2길
29,S0088763,한식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343353,추동로5번길
30,S0088774,카페/디저트,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411503181048,체육로
31,S0088777,한식,4723010300,경상북도,영천시,야사동,\N,4723051000,동부동,472303307052,충효로
32,S0088781,카페/디저트,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343354,추동로91번길
33,S0088785,야식,4817010900,경상남도,진주시,대안동,\N,4817056500,중앙동,481704797293,진주대로1079번길
