,0,1,2,3,4,5,6,7,8,9,10
0,S0066988,중식,1153010700,서울특별시,구로구,개봉동,\N,1153075000,개봉2동,115304148035,개봉로17길
1,S0066992,분식,1153010700,서울특별시,구로구,개봉동,\N,1153075000,개봉2동,115304148049,개봉로20길
2,S0066993,분식,1153010700,서울특별시,구로구,개봉동,\N,1153075000,개봉2동,115304148035,개봉로17길
3,S0066994,치킨,1153010700,서울특별시,구로구,개봉동,\N,1153075000,개봉2동,115304148049,개봉로20길
4,S0066995,야식,1153010700,서울특별시,구로구,개봉동,\N,1153074000,개봉1동,115304148098,경인로40길
5,S0067001,찜탕,4161011200,경기도,광주시,역동,\N,4161051000,경안동,416103211031,문화로
6,S0067016,중식,1153010600,서울특별시,구로구,고척동,\N,1153072000,고척1동,115304148103,경인로47길
7,S0067017,중식,1153010600,서울특별시,구로구,고척동,\N,1153072000,고척1동,115304148103,경인로47길
8,S0067018,한식,1153010700,서울특별시,구로구,개봉동,\N,1153074000,개봉1동,115303116003,고척로
9,S0067020,피자,1153010600,서울특별시,구로구,고척동,\N,1153073000,고척2동,115304148092,경인로35길
10,S0067021,카페/디저트,1153010600,서울특별시,구로구,고척동,\N,1153072000,고척1동,115304148103,경인로47길
11,S0067022,야식,1153010700,서울특별시,구로구,개봉동,\N,1153074000,개봉1동,115303116002,경서로
12,S0067024,도시락,4513014100,전라북도,군산시,수송동,\N,4513069000,수송동,451304604706,신평길
13,S0067025,도시락,4513014100,전라북도,군산시,수송동,\N,4513069000,수송동,451304604706,신평길
14,S0067040,돈까스/일식,4617025022,전라남도,나주시,남평읍,대교리,4617025000,남평읍,461703284016,남평2로
15,S0067043,치킨,4128112800,경기도,고양시 덕양구,행신동,\N,4128165000,행신2동,412813192095,충장로
16,S0067047,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411503181035,용민로
17,S0067048,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
18,S0067049,카페/디저트,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
19,S0067050,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181060,시민로
20,S0067051,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181060,시민로
21,S0067052,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181052,행복로
22,S0067053,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181052,행복로
23,S0067054,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181052,행복로
24,S0067055,카페/디저트,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503181047,청사로
25,S0067057,치킨,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471503306005,김천로
26,S0067060,치킨,4715011000,경상북도,김천시,삼락동,\N,4715057500,대신동,471504718037,거문들2길
27,S0067097,도시락,1153010800,서울특별시,구로구,오류동,\N,1153077000,오류1동,115303000028,경인로
