,0,1,2,3,4,5,6,7,8,9,10
0,S0001122,돈까스/일식,4119010200,경기도,부천시,심곡동,\N,4119060300,심곡동,411903184003,부천로
1,S0001488,심부름,1168010800,서울특별시,강남구,논현동,\N,1168053100,논현2동,116804166565,언주로114길
2,S0002452,돈까스/일식,4119010300,경기도,부천시,춘의동,\N,4119060600,부천동,411903184013,옥산로
3,S0002456,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
4,S0002458,돈까스/일식,4119012300,경기도,부천시,삼정동,\N,4119083000,오정동,411903184008,수도로
5,S0002463,돈까스/일식,4119010500,경기도,부천시,약대동,\N,4119074200,신중동,411903185015,중동로
6,S0002470,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352477,조마루로297번길
7,S0002471,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352477,조마루로297번길
8,S0002472,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411902000015,송내대로
9,S0002485,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411903185015,중동로
10,S0002489,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184007,소향로
11,S0002497,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184007,소향로
12,S0002596,돈까스/일식,4119012400,경기도,부천시,내동,\N,4119083000,오정동,411903185020,신흥로
13,S0002597,돈까스/일식,4119012400,경기도,부천시,내동,\N,4119083000,오정동,411903185020,신흥로
14,S0002600,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
15,S0002602,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184004,상동로
16,S0002613,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
17,S0002614,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
18,S0002615,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411904352017,길주로121번길
19,S0002616,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
20,S0002617,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
21,S0002618,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
22,S0002619,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
23,S0002620,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
24,S0002621,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
25,S0002622,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
26,S0002687,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352521,중동로254번길
27,S0002688,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352521,중동로254번길
28,S0002692,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184004,상동로
29,S0002704,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411902000015,송내대로
30,S0002707,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352519,중동로248번길
31,S0002711,돈까스/일식,4119010200,경기도,부천시,심곡동,\N,4119060300,심곡동,411903184003,부천로
32,S0002714,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184007,소향로
33,S0002715,돈까스/일식,4119012400,경기도,부천시,내동,\N,4119083000,오정동,411904358250,수도로139번길
34,S0002716,돈까스/일식,4119012400,경기도,부천시,내동,\N,4119083000,오정동,411904358250,수도로139번길
35,S0002757,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352521,중동로254번길
36,S0002758,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352521,중동로254번길
37,S0002763,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352260,석천로177번길
38,S0002764,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352260,석천로177번길
39,S0002765,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352260,석천로177번길
40,S0002789,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
41,S0002800,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,\N,\N
42,S0002802,돈까스/일식,4119012300,경기도,부천시,삼정동,\N,4119083000,오정동,\N,\N
43,S0002812,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184004,상동로
44,S0002813,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
45,S0002818,돈까스/일식,4119010500,경기도,부천시,약대동,\N,4119074200,신중동,411903000067,평천로
46,S0002820,돈까스/일식,4119010500,경기도,부천시,약대동,\N,4119074200,신중동,411903000067,평천로
47,S0002824,돈까스/일식,4119010500,경기도,부천시,약대동,\N,4119074200,신중동,411903000067,평천로
48,S0002827,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
49,S0002828,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,\N,\N
50,S0002848,돈까스/일식,4119010800,경기도,부천시,중동,\N,4119074200,신중동,411904352519,중동로248번길
51,S0002871,돈까스/일식,4119011100,경기도,부천시,심곡본동,\N,4119074600,대산동,411904355219,심곡로15번길
52,S0002872,돈까스/일식,4119011100,경기도,부천시,심곡본동,\N,4119074600,대산동,411904355219,심곡로15번길
53,S0002873,돈까스/일식,4119011100,경기도,부천시,심곡본동,\N,4119074600,대산동,411904355219,심곡로15번길
54,S0002876,돈까스/일식,4119010900,경기도,부천시,상동,\N,4119074400,상동,411903184007,소향로
