,0,1,2,3,4,5,6,7,8,9,10
58,S0107563,치킨,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718424,부곡맛고을2길
59,S0107564,카페/디저트,4159014000,경기도,화성시,새솔동,\N,4159051500,새솔동,\N,\N
60,S0107566,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
61,S0107567,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
62,S0107569,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343093,동일로454번길
63,S0107574,배달전문업체,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343368,태평로146번길
64,S0107578,한식,4115010500,경기도,의정부시,용현동,\N,4115057300,송산1동,411504343357,충의로57번길
65,S0107582,돈까스/일식,4125010200,경기도,동두천시,지행동,\N,4125056600,송내동,412503189031,중앙로
66,S0107583,찜탕,4413125033,충청남도,천안시 동남구,목천읍,신계리,4413125000,목천읍,441313249055,충절로
67,S0107586,족발/보쌈,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
68,S0107589,중식,4421010800,충청남도,서산시,석남동,\N,4421055000,석남동,442103254037,동서1로
69,S0107590,중식,4421010800,충청남도,서산시,석남동,\N,4421055000,석남동,442103254037,동서1로
70,S0107591,중식,4421010800,충청남도,서산시,석남동,\N,4421055000,석남동,442103254037,동서1로
71,S0107592,분식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718566,신기길
72,S0107593,분식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718566,신기길
73,S0107594,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718781,조각공원길
74,S0107595,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718781,조각공원길
75,S0107596,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
76,S0107597,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
77,S0107598,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
78,S0107599,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343290,용현로120번길
79,S0107602,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
80,S0107603,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
81,S0107604,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
82,S0107605,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
83,S0107606,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
84,S0107607,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
85,S0107608,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
86,S0107609,중식,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
87,S0107610,카페/디저트,4127110100,경기도,안산시 상록구,일동,\N,4127151000,일동,412713190101,안산대학로
88,S0107611,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411504343540,오목로225번길
89,S0107613,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343314,의정로46번길
90,S0107614,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343314,의정로46번길
91,S0107615,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343314,의정로46번길
92,S0107621,돈까스/일식,4119011000,경기도,부천시,소사본동,\N,4119075000,소사본동,411903185023,호현로
93,S0107623,카페/디저트,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685312,강변2길
94,S0107624,패스트푸드,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411503181048,체육로
95,S0107625,패스트푸드,4115011100,경기도,의정부시,녹양동,\N,4115062000,녹양동,411503181048,체육로
96,S0107629,돈까스/일식,4119011300,경기도,부천시,괴안동,\N,4119079500,범안동,411904355053,경인로484번길
97,S0107634,카페/디저트,4163025023,경기도,양주시,백석읍,복지리,4163025000,백석읍,416303212033,양주산성로
98,S0107635,돈까스/일식,4413111600,충청남도,천안시 동남구,신방동,\N,4413157000,신방동,441314547407,수곡1길
99,S0107637,한식,4139013000,경기도,시흥시,장곡동,\N,4139063100,장곡동,413904397522,장곡로37번길
100,S0107638,돈까스/일식,4421010900,충청남도,서산시,예천동,\N,4421055000,석남동,442103254206,호수공원7로
101,S0107639,돈까스/일식,4817013100,경상남도,진주시,가좌동,\N,4817074000,가호동,481704796005,가좌길
102,S0107640,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303307052,충효로
103,S0107641,족발/보쌈,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190036,샘골로
104,S0107642,돈까스/일식,1154510100,서울특별시,금천구,가산동,\N,1154551000,가산동,115453116013,벚꽃로
105,S0107643,야식,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685312,강변2길
