,0,1,2,3,4,5,6,7,8,9,10
0,S0071972,야식,1153010700,서울특별시,구로구,개봉동,\N,1153074000,개봉1동,115304148098,경인로40길
1,S0071988,배달전문업체,1153010600,서울특별시,구로구,고척동,\N,1153073000,고척2동,115304148092,경인로35길
2,S0071989,카페/디저트,1153010600,서울특별시,구로구,고척동,\N,1153073000,고척2동,115304148167,고척로40길
3,S0071995,치킨,1153010900,서울특별시,구로구,궁동,\N,1153079000,수궁동,115303000019,부일로
4,S0072002,야식,4617025021,전라남도,나주시,남평읍,남평리,4617025000,남평읍,461703284016,남평2로
5,S0072005,패스트푸드,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685313,강변1길
6,S0072008,돈까스/일식,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685312,강변2길
7,S0072009,야식,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685312,강변2길
8,S0072017,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
9,S0072018,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503215066,평화로
10,S0072019,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
11,S0072020,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181033,오목로
12,S0072021,카페/디저트,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181049,추동로
13,S0072022,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181060,시민로
14,S0072023,카페/디저트,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
15,S0072024,카페/디저트,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411503000001,동일로
16,S0072025,카페/디저트,4115010200,경기도,의정부시,호원동,\N,4115054500,호원1동,411503215066,평화로
17,S0072028,카페/디저트,4136025321,경기도,남양주시,진접읍,장현리,4136025300,진접읍,413603000121,금강로
18,S0072039,중식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718421,부거리길
19,S0072068,치킨,4161011000,경기도,광주시,태전동,\N,4161053000,광남동,416103211040,태봉로
20,S0072070,분식,4161011000,경기도,광주시,태전동,\N,4161053000,광남동,416103211040,태봉로
21,S0072071,족발/보쌈,4161011000,경기도,광주시,태전동,\N,4161053000,광남동,416103211040,태봉로
22,S0072072,분식,4161011000,경기도,광주시,태전동,\N,4161053000,광남동,416103211002,고불로
23,S0072077,카페/디저트,4121010400,경기도,광명시,소하동,\N,4121065000,소하2동,412103187034,성채로
24,S0072079,카페/디저트,4119011000,경기도,부천시,소사본동,\N,4119075000,소사본동,411904355282,은성로67번길
25,S0072080,카페/디저트,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181034,외미로
