S0022326,찜탕,1162010200,서울특별시,관악구,신림동,\N,1162074500,삼성동,116203000029,호암로
S0022334,한식,1162010200,서울특별시,관악구,신림동,\N,1162073500,대학동,116204160767,호암로24길
S0022335,찜탕,1159010900,서울특별시,동작구,신대방동,\N,1159068000,신대방2동,115904157219,보라매로5가길
S0022350,한식,1159010900,서울특별시,동작구,신대방동,\N,1159068000,신대방2동,115904157551,여의대방로24길
S0022360,야식,1162010200,서울특별시,관악구,신림동,\N,1162069500,신림동,116203005083,봉천로
S0022366,한식,1154510100,서울특별시,금천구,가산동,\N,1154551000,가산동,115452000003,남부순환로
S0022559,한식,4115011000,경기도,의정부시,가능동,\N,4115059500,가능동,411503181002,가능로
S0022560,한식,4115011000,경기도,의정부시,가능동,\N,4115059500,가능동,411503181002,가능로
S0022632,야식,4115011000,경기도,의정부시,가능동,\N,4115059500,가능동,411503181029,신흥로
S0022885,분식,1168010100,서울특별시,강남구,역삼동,\N,1168064000,역삼1동,116804166649,역삼로4길
S0022946,아시안/양식,4159014000,경기도,화성시,새솔동,\N,4159051500,새솔동,\N,\N
S0023144,야식,4421010100,충청남도,서산시,읍내동,\N,4421051000,부춘동,442103254135,읍내1로
S0023289,도시락,1130510100,서울특별시,강북구,미아동,\N,1130553400,삼양동,113053005042,솔샘로
S0023290,도시락,1130510100,서울특별시,강북구,미아동,\N,1130553500,미아동,113054124341,솔매로49길
S0023308,한식,2644010400,부산광역시,강서구,명지동,\N,2644053500,명지1동,264404853419,명지국제12로11번길
S0023786,한식,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411503181019,부용로
S0024335,아시안/양식,4513014400,전라북도,군산시,나운동,\N,4513070200,나운2동,451304604524,서수송안1길
S0024336,아시안/양식,4513014400,전라북도,군산시,나운동,\N,4513070200,나운2동,451304604524,서수송안1길
S0024337,아시안/양식,4513014400,전라북도,군산시,나운동,\N,4513070200,나운2동,451304604524,서수송안1길
