S0089923,심부름,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181062,태평로
S0089925,찜탕,4136031021,경기도,남양주시,별내면,청학리,4136031000,별내면,413603197057,청학로
S0089942,심부름,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181034,외미로
S0089945,심부름,4115010200,경기도,의정부시,호원동,\N,4115055500,호원2동,411503181034,외미로
S0089965,야식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,\N,\N
S0089967,피자,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411503181002,가능로
S0089980,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411503181062,태평로
S0089981,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343382,태평로73번길
S0089983,돈까스/일식,4119011300,경기도,부천시,괴안동,\N,4119079500,범안동,411903000028,경인로
S0089991,카페/디저트,2823710100,인천광역시,부평구,부평동,\N,2823754000,부평4동,282373008034,주부토로
S0090000,카페/디저트,4117110300,경기도,안양시 만안구,박달동,\N,4117162100,박달1동,411714346264,양화로97번길
S0090018,야식,4159012700,경기도,화성시,반송동,\N,4159058500,동탄1동,415904431486,동탄중심상가2길
S0090105,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472304730386,시청남1길
S0090198,돈까스/일식,1154510200,서울특별시,금천구,독산동,\N,1154563000,독산3동,115454151277,시흥대로148길
S0090281,야식,4139010100,경기도,시흥시,대야동,\N,4139051000,대야동,413904397299,비둘기공원5길
S0090284,치킨,4163011600,경기도,양주시,덕계동,\N,4163054000,회천2동,416304436376,평화로1429번길
S0090305,중식,4139011800,경기도,시흥시,능곡동,\N,4139064000,능곡동,413904397401,시흥대로268번길
S0090306,중식,4139011800,경기도,시흥시,능곡동,\N,4139064000,능곡동,413904397401,시흥대로268번길
S0090314,치킨,1159010700,서울특별시,동작구,사당동,\N,1159065000,사당4동,115903119004,사당로
S0090323,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0090339,치킨,4115010200,경기도,의정부시,호원동,\N,4115054500,호원1동,411503215066,평화로
S0090340,치킨,4115010200,경기도,의정부시,호원동,\N,4115054500,호원1동,411503215066,평화로
S0090347,한식,4623010800,전라남도,광양시,광영동,\N,4623054000,광영동,462303285004,광영로
S0090379,돈까스/일식,1153010200,서울특별시,구로구,구로동,\N,1153055000,구로4동,115304148204,구로동로18길
S0090382,카페/디저트,2723012600,대구광역시,북구,태전동,\N,2723073500,태전2동,272303145026,매전로
